연도,방문지역,방문자수,전년대비증감
2016,BIFF광장 일원,250397,
2016,감천문화마을,24274,
2016,광안리 해수욕장,29907,
2016,국립해양박물관,16268,
2016,다대포 해수욕장,5226,
2016,달맞이고개,27437,
2016,동백섬 일원,105363,
2016,렛츠런파크,4592,
2016,마린시티,67539,
2016,민락수변공원,19126,
2016,범어사,715,
2016,부산서면,261010,
2016,부산시민공원,16142,
2016,센텀시티,83340,
2016,송도 해수욕장,23675,
2016,송정 해수욕장,7870,
2016,아미산전망대,6666,
2016,오륙도,16085,
2016,을숙도,1175,
2016,자갈치·국제시장,188293,
2016,전포카페거리,80510,
2016,태종대,14269,
2016,해동 용궁사,5529,
2016,해운대 해수욕장,239393,
2016,황령산 봉수대,4257,
2016,흰여울문화마을,13522,
2017,BIFF광장 일원,158485,-36.7
2017,감천문화마을,21307,-12.2
2017,광안리 해수욕장,13038,-56.4
2017,국립해양박물관,9019,-44.6
2017,다대포 해수욕장,2745,-47.5
2017,달맞이고개,50281,83.3
2017,동백섬 일원,66560,-36.8
2017,렛츠런파크,1882,-59
2017,마린시티,51934,-23.1
2017,민락수변공원,11620,-39.2
2017,범어사,700,-2
2017,부산서면,153898,-41
2017,부산시민공원,10580,-34.5
2017,센텀시티,35396,-57.5
2017,송도 해수욕장,28213,19.2
2017,송정 해수욕장,7312,-7.1
2017,아미산전망대,3674,-44.9
2017,오륙도,13069,-18.8
2017,을숙도,731,-37.8
2017,자갈치·국제시장,121253,-35.6
2017,전포카페거리,71553,-11.1
2017,태종대,13345,-6.5
2017,해동 용궁사,3031,-45.2
2017,해운대 해수욕장,150741,-37
2017,황령산 봉수대,4928,15.8
2017,흰여울문화마을,13794,2
2018,BIFF광장 일원,125329,-20.9
2018,감천문화마을,34024,59.7
2018,광안리 해수욕장,12071,-7.4
2018,국립해양박물관,10618,17.7
2018,다대포 해수욕장,2993,9
2018,달맞이고개,83182,65.4
2018,동백섬 일원,85503,28.5
2018,렛츠런파크,2079,10.4
2018,마린시티,67247,29.5
2018,민락수변공원,13025,12.1
2018,범어사,789,12.6
2018,부산서면,168868,9.7
2018,부산시민공원,18631,76.1
2018,센텀시티,35768,1.1
2018,송도 해수욕장,46331,64.2
2018,송정 해수욕장,5709,-21.9
2018,아미산전망대,4296,16.9
2018,오륙도,6534,-50
2018,을숙도,937,28.1
2018,자갈치·국제시장,90430,-25.4
2018,전포카페거리,95669,33.7
2018,태종대,18055,35.3
2018,해동 용궁사,5754,89.9
2018,해운대 해수욕장,129052,-14.4
2018,황령산 봉수대,5149,4.5
2018,흰여울문화마을,18159,31.6
2019,BIFF광장일원,135692,8.3
2019,감천문화마을,35712,5
2019,광안리해수욕장,12590,4.3
2019,국립해양박물관,11252,6
2019,다대포해수욕장,4098,36.9
2019,달맞이고개,94044,13.1
2019,동백섬·누리마루일원,92640,8
2019,렛츠런파크,1475,-29
2019,마린시티일원,70318,5
2019,민락수변공원,12879,-1.1
2019,범어사,642,-18.6
2019,부산서면,183617,8.7
2019,부산시민공원,20217,8.5
2019,센텀시티,34237,-4.3
2019,송도해수욕장,45093,-2.7
2019,송정해수욕장,5722,0
2019,아미산전망대,5523,29
2019,오륙도·이기대,11384,74.2
2019,을숙도,982,4.9
2019,자갈치‧국제시장,98902,9.4
2019,전포카페거리,106038,10.8
2019,태종대,20596,14.1
2019,해동용궁사,6855,19.2
2019,해운대해수욕장,145830,13
2019,황령산봉수대,5430,5.5
2019,흰여울문화마을,17974,-1
2020,BIFF광장 일원,29107,-89.3
2020,감천문화마을,9083,-87.3
2020,광안리해수욕장,3013,-88
2020,국립해양박물관,4272,-81
2020,다대포해수욕장,1066,-87
2020,달맞이고개,19374,-89.7
2020,동백섬·누리마루 일원,20861,-88.7
2020,렛츠런파크,449,-84.8
2020,마린시티 일원,16727,-88.1
2020,민락수변공원,3012,-88.3
2020,범어사,156,-87.9
2020,부산서면,35833,-90.2
2020,부산시민공원,3552,-91.2
2020,센텀시티,8020,-88.3
2020,송도해수욕장,13066,-85.5
2020,송정해수욕장,1695,-85.2
2020,아미산전망대,1413,-87.2
2020,오륙도·이기대,2543,-88.8
2020,을숙도,223,-88.7
2020,일광해수욕장,168,
2020,임랑해수욕장,173,
2020,자갈치국제시장,21461,-89.2
2020,전포카페거리,19683,-90.7
2020,태종대,6427,-84.4
2020,해동용궁사,1524,-88.9
2020,해운대해수욕장,31313,-89.3
2020,횡령산봉수대,1200,-89
2020,흰여울문화마을,6129,-82.9
