BASE_YEAR,UPJONG_LV1_DC,CSP_PC
2016,가전/가구/자동차,3294000000
2016,교통,30479000000
2016,기타,44428000000
2016,미용서비스,1884000000
2016,백화점/면세점,232152000000
2016,병원/약국,16750000000
2016,생활서비스,16077000000
2016,숙박,118049000000
2016,스포츠/문화/레저,3101000000
2016,스포츠/문화/레저용품,9964000000
2016,외식업기타,7764000000
2016,유흥,74422000000
2016,음/식료품,16900000000
2016,의복/의류,13146000000
2016,인테리어,1347000000
2016,자동차수리/용품,275000000
2016,제과/커피/패스트푸드,2335000000
2016,주유/LPG,779000000
2016,중식/일식/양식,6315000000
2016,패션/잡화,6608000000
2016,편의점,5257000000
2016,한식,25986000000
2016,할인점/슈퍼마켓,31933000000
2016,화장품,18868000000
2017,가전/가구/자동차,2913000000
2017,교통,11894000000
2017,기타,25678000000
2017,미용서비스,1488000000
2017,백화점/면세점,139139000000
2017,병원/약국,15284000000
2017,생활서비스,11790000000
2017,숙박,89573000000
2017,스포츠/문화/레저,2376000000
2017,스포츠/문화/레저용품,6195000000
2017,외식업기타,5918000000
2017,유흥,84497000000
2017,음/식료품,11830000000
2017,의복/의류,8216000000
2017,인테리어,495000000
2017,자동차수리/용품,232000000
2017,제과/커피/패스트푸드,1836000000
2017,주유/LPG,694000000
2017,중식/일식/양식,4614000000
2017,패션/잡화,4182000000
2017,편의점,4108000000
2017,한식,17407000000
2017,할인점/슈퍼마켓,18155000000
2017,화장품,16105000000
2018,가전/가구/자동차,2556000000
2018,교통,9766000000
2018,기타,6590000000
2018,미용서비스,1443000000
2018,백화점/면세점,137827000000
2018,병원/약국,16971000000
2018,생활서비스,5091000000
2018,숙박,102986000000
2018,스포츠/문화/레저,5568000000
2018,스포츠/문화/레저용품,7625000000
2018,외식업기타,5971000000
2018,유흥,84034000000
2018,음/식료품,15905000000
2018,의복/의류,11105000000
2018,인테리어,335000000
2018,자동차수리/용품,196000000
2018,제과/커피/패스트푸드,2690000000
2018,주유/LPG,725000000
2018,중식/일식/양식,4389000000
2018,패션/잡화,4126000000
2018,편의점,4835000000
2018,한식,18231000000
2018,할인점/슈퍼마켓,24746000000
2018,화장품,19691000000
2019,가전/가구/자동차,3040000000
2019,교통,11577000000
2019,기타,8000000
2019,미용서비스,1657000000
2019,백화점/면세점,137886000000
2019,병원/약국,22663000000
2019,생활서비스,4440000000
2019,숙박,107581000000
2019,스포츠/문화/레저,2748000000
2019,스포츠/문화/레저용품,12750000000
2019,외식업기타,7352000000
2019,유흥,81676000000
2019,음/식료품,8331000000
2019,의복/의류,9594000000
2019,인테리어,427000000
2019,자동차수리/용품,234000000
2019,제과/커피/패스트푸드,3210000000
2019,주유/LPG,798000000
2019,중식/일식/양식,4937000000
2019,패션/잡화,5024000000
2019,편의점,5295000000
2019,한식,21514000000
2019,할인점/슈퍼마켓,29227000000
2019,화장품,18097000000
2020,가전/가구/자동차,1759000000
2020,교통,4656000000
2020,기타,3611000000
2020,미용서비스,537000000
2020,백화점/면세점,26437000000
2020,병원/약국,9142000000
2020,생활서비스,663000000
2020,숙박,39537000000
2020,스포츠/문화/레저,1074000000
2020,스포츠/문화/레저용품,2233000000
2020,외식업기타,2742000000
2020,유흥,18250000000
2020,음/식료품,1519000000
2020,의복/의류,2023000000
2020,인테리어,222000000
2020,자동차수리/용품,196000000
2020,제과/커피/패스트푸드,1134000000
2020,주유/LPG,509000000
2020,중식/일식/양식,2040000000
2020,패션/잡화,1236000000
2020,편의점,2000000000
2020,한식,4957000000
2020,할인점/슈퍼마켓,11335000000
2020,화장품,2130000000
