crym,tco_btc_nm,ma_fem_dc,agegrp_dc,tco_btc_u_ct,tco_btc_u_am
201901,한식,1,1,7,239200
201901,한식,1,10,1618,46714960
201901,한식,1,20,150194,4961333872
201901,한식,1,30,564787,20063188520
201901,한식,1,40,817438,29544707606
201901,한식,1,50,546298,19621571337
201901,한식,1,60,200834,7369290939
201901,한식,1,70,52584,1893175632
201901,한식,1,80,8849,303577032
201901,한식,1,90,309,15215300
201901,한식,2,10,1960,52190270
201901,한식,2,20,184389,5760620732
201901,한식,2,30,589543,19663188469
201901,한식,2,40,976588,32197019735
201901,한식,2,50,700549,23703513953
201901,한식,2,60,234444,8660842067
201901,한식,2,70,53021,1968268562
201901,한식,2,80,6516,236422054
201901,한식,2,90,185,7408300
201901,일식,1,1,1,81000
201901,일식,1,10,148,4460950
201901,일식,1,20,14482,598567991
201901,일식,1,30,42017,2046643303
201901,일식,1,40,52120,2753044488
201901,일식,1,50,32099,1729340808
201901,일식,1,60,10150,592442814
201901,일식,1,70,2627,132236740
201901,일식,1,80,540,24929745
201901,일식,1,90,31,1385900
201901,일식,2,10,239,6690890
201901,일식,2,20,20410,739702746
201901,일식,2,30,47102,1952802909
201901,일식,2,40,71886,2999659209
201901,일식,2,50,45932,2012070850
201901,일식,2,60,12163,635450497
201901,일식,2,70,2719,136475325
201901,일식,2,80,503,20385885
201901,일식,2,90,23,1051700
201901,중식,1,1,1,16000
201901,중식,1,10,217,4266900
201901,중식,1,20,20813,509484793
201901,중식,1,30,83332,2139238429
201901,중식,1,40,112720,2903378676
201901,중식,1,50,58894,1472428306
201901,중식,1,60,18337,492677048
201901,중식,1,70,4597,132529530
201901,중식,1,80,818,26474910
201901,중식,1,90,60,1375600
201901,중식,2,10,227,4682000
201901,중식,2,20,21423,522443892
201901,중식,2,30,79430,2060457643
201901,중식,2,40,123080,3060962803
201901,중식,2,50,70806,1757686619
201901,중식,2,60,20745,564050140
201901,중식,2,70,4910,146560476
201901,중식,2,80,720,25326800
201901,중식,2,90,20,647600
201901,양식,1,10,98,2785260
201901,양식,1,20,12587,404239692
201901,양식,1,30,39040,1477400488
201901,양식,1,40,43622,1683156240
201901,양식,1,50,23927,849485297
201901,양식,1,60,6124,235373130
201901,양식,1,70,1304,51479870
201901,양식,1,80,252,14200978
201901,양식,1,90,7,584500
201901,양식,2,10,275,7666540
201901,양식,2,20,23408,723135777
201901,양식,2,30,59936,1935926676
201901,양식,2,40,76735,2429023349
201901,양식,2,50,43926,1375420472
201901,양식,2,60,10049,371393214
201901,양식,2,70,1764,70742175
201901,양식,2,80,239,12546785
201901,양식,2,90,9,335300
201901,패스트푸드점,1,10,514,5170340
201901,패스트푸드점,1,20,38688,351863097
201901,패스트푸드점,1,30,137478,1251284278
201901,패스트푸드점,1,40,171508,1678734446
201901,패스트푸드점,1,50,68691,634455992
201901,패스트푸드점,1,60,16593,136679400
201901,패스트푸드점,1,70,4905,40428130
201901,패스트푸드점,1,80,1236,8795800
201901,패스트푸드점,1,90,63,402900
201901,패스트푸드점,2,1,3,16400
201901,패스트푸드점,2,10,545,4863750
201901,패스트푸드점,2,20,43694,385980212
201901,패스트푸드점,2,30,191274,1762597655
201901,패스트푸드점,2,40,288015,2761669032
201901,패스트푸드점,2,50,125442,1092116990
201901,패스트푸드점,2,60,32186,263015427
201901,패스트푸드점,2,70,7533,61172730
201901,패스트푸드점,2,80,949,7466330
201901,패스트푸드점,2,90,37,333350
201901,패밀리레스토랑,1,10,22,724140
201901,패밀리레스토랑,1,20,2764,92137038
201901,패밀리레스토랑,1,30,11062,373596403
201901,패밀리레스토랑,1,40,14448,473432794
201901,패밀리레스토랑,1,50,7407,236290882
201901,패밀리레스토랑,1,60,1648,51769772
201901,패밀리레스토랑,1,70,375,13307775
201901,패밀리레스토랑,1,80,73,2292920
201901,패밀리레스토랑,2,10,37,1287298
201901,패밀리레스토랑,2,20,3933,135691039
201901,패밀리레스토랑,2,30,14687,499394892
201901,패밀리레스토랑,2,40,23764,745270734
201901,패밀리레스토랑,2,50,12776,386479462
201901,패밀리레스토랑,2,60,2871,93293212
201901,패밀리레스토랑,2,70,612,22522442
201901,패밀리레스토랑,2,80,101,3313215
201901,패밀리레스토랑,2,90,10,258280
201902,한식,1,0,1,8000
201902,한식,1,10,1267,37269100
201902,한식,1,20,131215,4457400588
201902,한식,1,30,492588,17794251808
201902,한식,1,40,720310,26575588170
201902,한식,1,50,479616,17544480633
201902,한식,1,60,173115,6380937361
201902,한식,1,70,44878,1613948865
201902,한식,1,80,7286,256483219
201902,한식,1,90,263,10162400
201902,한식,2,10,1620,45217040
201902,한식,2,20,157953,5083917636
201902,한식,2,30,503053,17049744998
201902,한식,2,40,837635,28317111723
201902,한식,2,50,597804,20622765263
201902,한식,2,60,198149,7435310019
201902,한식,2,70,43039,1637887000
201902,한식,2,80,5523,219698042
201902,한식,2,90,152,9716200
201902,일식,1,10,108,3092400
201902,일식,1,20,13386,556174639
201902,일식,1,30,38241,1860400165
201902,일식,1,40,46946,2508064563
201902,일식,1,50,29135,1583423730
201902,일식,1,60,9037,520300705
201902,일식,1,70,2490,129415061
201902,일식,1,80,446,20295220
201902,일식,1,90,40,1554200
201902,일식,2,10,197,5358590
201902,일식,2,20,18231,655934180
201902,일식,2,30,41013,1705359091
201902,일식,2,40,62560,2665708140
201902,일식,2,50,40152,1793596978
201902,일식,2,60,10580,562075842
201902,일식,2,70,2348,116340150
201902,일식,2,80,403,17719205
201902,일식,2,90,20,745000
201902,중식,1,10,162,3572000
201902,중식,1,20,18559,463998041
201902,중식,1,30,76774,2026271112
201902,중식,1,40,106364,2867615493
201902,중식,1,50,56015,1456579688
201902,중식,1,60,17290,454629908
201902,중식,1,70,4340,123032620
201902,중식,1,80,758,28169250
201902,중식,1,90,52,2447400
201902,중식,2,10,177,3622860
201902,중식,2,20,19643,499350580
201902,중식,2,30,73023,1969303173
201902,중식,2,40,114143,3017888065
201902,중식,2,50,64915,1688967692
201902,중식,2,60,19731,548948834
201902,중식,2,70,4483,136014775
201902,중식,2,80,646,21704940
201902,중식,2,90,26,1751000
201902,양식,1,10,71,1956800
201902,양식,1,20,11481,385578584
201902,양식,1,30,36386,1348420394
201902,양식,1,40,39955,1576353055
201902,양식,1,50,21178,784018224
201902,양식,1,60,5394,210662270
201902,양식,1,70,1227,57118242
201902,양식,1,80,256,9845560
201902,양식,1,90,9,359700
201902,양식,2,10,200,5996250
201902,양식,2,20,20897,666418483
201902,양식,2,30,53697,1754385816
201902,양식,2,40,67877,2206630579
201902,양식,2,50,38303,1208417015
201902,양식,2,60,9074,349414440
201902,양식,2,70,1618,62681610
201902,양식,2,80,252,9801790
201902,양식,2,90,11,1114230
201902,패스트푸드점,1,10,408,3653060
201902,패스트푸드점,1,20,34889,314550220
201902,패스트푸드점,1,30,129505,1178948120
201902,패스트푸드점,1,40,162445,1602914179
201902,패스트푸드점,1,50,63568,597536357
201902,패스트푸드점,1,60,15492,125705310
201902,패스트푸드점,1,70,4543,35949580
201902,패스트푸드점,1,80,1119,8679390
201902,패스트푸드점,1,90,58,402200
201902,패스트푸드점,2,10,401,3631250
201902,패스트푸드점,2,20,38529,341181159
201902,패스트푸드점,2,30,174138,1607413621
201902,패스트푸드점,2,40,259951,2514810695
201902,패스트푸드점,2,50,112301,979154519
201902,패스트푸드점,2,60,29155,236214255
201902,패스트푸드점,2,70,6569,53857380
201902,패스트푸드점,2,80,792,6769170
201902,패스트푸드점,2,90,26,243000
201902,패밀리레스토랑,1,10,30,1026215
201902,패밀리레스토랑,1,20,2518,79594450
201902,패밀리레스토랑,1,30,10208,344300071
201902,패밀리레스토랑,1,40,13653,461862852
201902,패밀리레스토랑,1,50,6873,223175889
201902,패밀리레스토랑,1,60,1560,50727847
201902,패밀리레스토랑,1,70,350,11379381
201902,패밀리레스토랑,1,80,71,2871673
201902,패밀리레스토랑,1,90,4,125820
201902,패밀리레스토랑,2,10,34,1172370
201902,패밀리레스토랑,2,20,3478,117851765
201902,패밀리레스토랑,2,30,13241,451552286
201902,패밀리레스토랑,2,40,21697,694473293
201902,패밀리레스토랑,2,50,11711,369395679
201902,패밀리레스토랑,2,60,2819,91941822
201902,패밀리레스토랑,2,70,580,20902121
201902,패밀리레스토랑,2,80,86,2881510
201902,패밀리레스토랑,2,90,5,127510
201903,한식,1,1,1,26000
201903,한식,1,10,1660,47893260
201903,한식,1,20,163891,5401586177
201903,한식,1,30,598208,21208302456
201903,한식,1,40,876353,31256294627
201903,한식,1,50,606236,21285947477
201903,한식,1,60,225997,8167915751
201903,한식,1,70,59519,2085180797
201903,한식,1,80,10279,355555430
201903,한식,1,90,322,13708400
201903,한식,2,0,1,18000
201903,한식,2,10,2060,54828640
201903,한식,2,20,195371,6149672827
201903,한식,2,30,610859,20237598870
201903,한식,2,40,1031464,33109133418
201903,한식,2,50,772825,25767217347
201903,한식,2,60,265002,9692729659
201903,한식,2,70,58872,2149954949
201903,한식,2,80,7618,276692650
201903,한식,2,90,213,8687350
201903,일식,1,10,141,3807320
201903,일식,1,20,16523,659380597
201903,일식,1,30,46736,2234637119
201903,일식,1,40,55979,2881605104
201903,일식,1,50,35797,1884245684
201903,일식,1,60,11705,690200620
201903,일식,1,70,3272,167401870
201903,일식,1,80,681,32119270
201903,일식,1,90,41,1710600
201903,일식,2,10,220,6121950
201903,일식,2,20,22429,800364224
201903,일식,2,30,49969,2020348310
201903,일식,2,40,74844,3037883100
201903,일식,2,50,50940,2193681086
201903,일식,2,60,14062,710123759
201903,일식,2,70,3220,157272180
201903,일식,2,80,593,24277185
201903,일식,2,90,28,1284900
201903,중식,1,10,219,4450200
201903,중식,1,20,22885,555155560
201903,중식,1,30,92093,2402028616
201903,중식,1,40,123847,3110907118
201903,중식,1,50,68262,1630395796
201903,중식,1,60,21752,544156268
201903,중식,1,70,5513,142920340
201903,중식,1,80,1009,31531430
201903,중식,1,90,46,1671000
201903,중식,2,10,236,5268590
201903,중식,2,20,24329,604178128
201903,중식,2,30,85623,2210085439
201903,중식,2,40,129957,3170361011
201903,중식,2,50,81077,1946590583
201903,중식,2,60,24595,639363960
201903,중식,2,70,5744,161505763
201903,중식,2,80,851,27568755
201903,중식,2,90,30,871100
201903,양식,1,10,133,3684540
201903,양식,1,20,14201,462943854
201903,양식,1,30,42821,1566919154
201903,양식,1,40,44870,1679732536
201903,양식,1,50,24841,874183519
201903,양식,1,60,6606,258457759
201903,양식,1,70,1420,67688182
201903,양식,1,80,290,14437700
201903,양식,1,90,18,603310
201903,양식,2,10,248,6249060
201903,양식,2,20,25343,779403930
201903,양식,2,30,62747,1954233327
201903,양식,2,40,76601,2291737558
201903,양식,2,50,45935,1371795255
201903,양식,2,60,10990,413309409
201903,양식,2,70,1952,70529545
201903,양식,2,80,268,13016440
201903,양식,2,90,7,620070
201903,패스트푸드점,1,0,1,8600
201903,패스트푸드점,1,10,532,4774890
201903,패스트푸드점,1,20,41979,373130695
201903,패스트푸드점,1,30,146197,1282257270
201903,패스트푸드점,1,40,172609,1589018314
201903,패스트푸드점,1,50,71503,623192565
201903,패스트푸드점,1,60,18430,143752957
201903,패스트푸드점,1,70,5385,41156580
201903,패스트푸드점,1,80,1341,9460430
201903,패스트푸드점,1,90,79,543950
201903,패스트푸드점,2,1,2,6500
201903,패스트푸드점,2,10,554,4865710
201903,패스트푸드점,2,20,45925,395174509
201903,패스트푸드점,2,30,192591,1669823141
201903,패스트푸드점,2,40,278054,2499467231
201903,패스트푸드점,2,50,129205,1068675225
201903,패스트푸드점,2,60,34467,270068020
201903,패스트푸드점,2,70,7938,62965080
201903,패스트푸드점,2,80,1011,7845720
201903,패스트푸드점,2,90,44,539350
201903,패밀리레스토랑,1,10,19,437640
201903,패밀리레스토랑,1,20,2788,84878780
201903,패밀리레스토랑,1,30,10392,335337208
201903,패밀리레스토랑,1,40,13490,425273819
201903,패밀리레스토랑,1,50,7129,212645070
201903,패밀리레스토랑,1,60,1617,48908793
201903,패밀리레스토랑,1,70,403,13010675
201903,패밀리레스토랑,1,80,79,2505745
201903,패밀리레스토랑,2,10,34,982790
201903,패밀리레스토랑,2,20,3654,117686670
201903,패밀리레스토랑,2,30,13326,427841885
201903,패밀리레스토랑,2,40,20794,615583237
201903,패밀리레스토랑,2,50,12531,360138285
201903,패밀리레스토랑,2,60,3094,95767314
201903,패밀리레스토랑,2,70,614,19137070
201903,패밀리레스토랑,2,80,82,2978107
201903,패밀리레스토랑,2,90,6,133970
201904,한식,1,1,3,50000
201904,한식,1,10,1532,41677820
201904,한식,1,20,166331,5337501031
201904,한식,1,30,601929,20958438518
201904,한식,1,40,880604,30457905282
