지점,지점명,일시,평균기온(°C),합계 강수량(mm)
90,속초,2021,13.2,1199.7
93,북춘천,2021,11.6,1065.2
95,철원,2021,11.3,1115.3
98,동두천,2021,12.1,1035.6
99,파주,2021,11.5,1037.9
100,대관령,2021,7.9,1027.3
101,춘천,2021,12.4,1045.9
102,백령도,2021,12.5,1119.8
104,북강릉,2021,13.1,1392.4
105,강릉,2021,14.6,1316.4
106,동해,2021,13.5,1244.6
108,서울,2021,13.7,1186.5
112,인천,2021,13.4,1071.8
114,원주,2021,13,1113
115,울릉도,2021,13.5,1533
119,수원,2021,13.4,1084.4
121,영월,2021,12.1,1106.4
127,충주,2021,12.4,1365.5
129,서산,2021,13.2,1207.3
130,울진,2021,13.5,1158.9
131,청주,2021,14.4,1001.6
133,대전,2021,14.3,1109.5
135,추풍령,2021,12.3,1129.1
136,안동,2021,12.7,974
137,상주,2021,13.2,1230.8
138,포항,2021,15.2,1405.7
140,군산,2021,13.9,1151.7
143,대구,2021,14.6,910
146,전주,2021,14.6,1496.6
152,울산,2021,14.9,1337
155,창원,2021,14.9,1710.6
156,광주,2021,15.1,1303.8
159,부산,2021,15.7,1807.8
162,통영,2021,15.6,1800.1
165,목포,2021,15.1,1101
168,여수,2021,15.7,1571.2
169,흑산도,2021,15.3,919.5
170,완도,2021,15.6,1607.2
172,고창,2021,14,1255.8
174,순천,2021,13.5,1320.9
177,홍성,2021,13.3,1242.8
184,제주,2021,17.5,1627.7
185,고산,2021,17,1387.9
188,성산,2021,16.7,2086.3
189,서귀포,2021,17.5,2136.2
192,진주,2021,14.1,1395
201,강화,2021,12.3,1013.6
202,양평,2021,12.7,1018.9
203,이천,2021,12.7,1076.6
211,인제,2021,11.4,923
212,홍천,2021,11.8,950.3
216,태백,2021,9.5,1207.4
217,정선군,2021,11.4,1112.1
221,제천,2021,11.2,1162.2
226,보은,2021,12.1,1097.7
232,천안,2021,12.5,1058.9
235,보령,2021,13.8,1107.9
236,부여,2021,13.3,1123.4
238,금산,2021,12.9,1290.1
239,세종,2021,13.5,1104.6
243,부안,2021,14,1354
244,임실,2021,12.5,1259.2
245,정읍,2021,13.8,1354.6
247,남원,2021,13.4,1136.8
248,장수,2021,11.6,1345.2
251,고창군,2021,14,1174.6
252,영광군,2021,14,1202.6
253,김해시,2021,15.1,1552.6
254,순창군,2021,13.6,1232.6
255,북창원,2021,15.8,1555.8
257,양산시,2021,15.4,1708.2
258,보성군,2021,15,1708.3
259,강진군,2021,14.8,1494.8
260,장흥,2021,14.2,1475.5
261,해남,2021,13.9,1387.9
262,고흥,2021,14.3,1339.8
263,의령군,2021,14.3,1205.5
264,함양군,2021,13.3,1014.9
266,광양시,2021,15.5,1423
268,진도군,2021,,1549.1
271,봉화,2021,10,1129.1
272,영주,2021,12,1346.5
273,문경,2021,12.5,1367.3
276,청송군,2021,11.5,987.7
277,영덕,2021,13.5,1287
278,의성,2021,12.4,961.7
279,구미,2021,13.9,1098
281,영천,2021,13.3,1094.2
283,경주시,2021,13.9,1112.1
284,거창,2021,12.8,1080.2
285,합천,2021,13.9,1146.4
288,밀양,2021,14.5,1202.5
289,산청,2021,13.6,1142.8
294,거제,2021,15.2,2227.9
295,남해,2021,15.1,1981.4
