지점,지점명,일시,평균기온(°C)
90,속초,2001-01,-2.3
90,속초,2001-02,1.2
90,속초,2001-03,5.6
90,속초,2001-04,12.3
90,속초,2001-05,17.2
90,속초,2001-06,20
90,속초,2001-07,23.4
90,속초,2001-08,22.4
90,속초,2001-09,20
90,속초,2001-10,15.9
90,속초,2001-11,8.8
90,속초,2001-12,1.4
90,속초,2002-01,.8
90,속초,2002-02,4.2
90,속초,2002-03,8.7
90,속초,2002-04,12.2
90,속초,2002-05,15.6
90,속초,2002-06,19.5
90,속초,2002-07,21.9
90,속초,2002-08,22.7
90,속초,2002-09,19.1
90,속초,2002-10,13
90,속초,2002-11,5.1
90,속초,2002-12,1.2
90,속초,2003-01,-1.6
90,속초,2003-02,1.6
90,속초,2003-03,4.5
90,속초,2003-04,11
90,속초,2003-05,14.8
90,속초,2003-06,20.3
90,속초,2003-07,20.8
