지점명,평균기온,합계 강수량
속초,13.2,1199.7
북춘천,11.6,1065.2
철원,11.3,1115.3
동두천,12.1,1035.6
파주,11.5,1037.9
대관령,7.9,1027.3
춘천,12.4,1045.9
백령도,12.5,1119.8
북강릉,13.1,1392.4
강릉,14.6,1316.4
동해,13.5,1244.6
서울,13.7,1186.5
인천,13.4,1071.8
원주,13,1113
울릉도,13.5,1533
수원,13.4,1084.4
영월,12.1,1106.4
충주,12.4,1365.5
서산,13.2,1207.3
울진,13.5,1158.9
청주,14.4,1001.6
대전,14.3,1109.5
추풍령,12.3,1129.1
안동,12.7,974
상주,13.2,1230.8
포항,15.2,1405.7
군산,13.9,1151.7
대구,14.6,910
전주,14.6,1496.6
울산,14.9,1337
창원,14.9,1710.6
광주,15.1,1303.8
부산,15.7,1807.8
통영,15.6,1800.1
목포,15.1,1101
여수,15.7,1571.2
흑산도,15.3,919.5
완도,15.6,1607.2
고창,14,1255.8
순천,13.5,1320.9
홍성,13.3,1242.8
제주,17.5,1627.7
고산,17,1387.9
성산,16.7,2086.3
서귀포,17.5,2136.2
진주,14.1,1395
강화,12.3,1013.6
양평,12.7,1018.9
이천,12.7,1076.6
인제,11.4,923
홍천,11.8,950.3
태백,9.5,1207.4
정선군,11.4,1112.1
제천,11.2,1162.2
보은,12.1,1097.7
천안,12.5,1058.9
보령,13.8,1107.9
부여,13.3,1123.4
금산,12.9,1290.1
세종,13.5,1104.6
부안,14,1354
임실,12.5,1259.2
정읍,13.8,1354.6
남원,13.4,1136.8
장수,11.6,1345.2
고창군,14,1174.6
영광군,14,1202.6
김해시,15.1,1552.6
순창군,13.6,1232.6
북창원,15.8,1555.8
양산시,15.4,1708.2
보성군,15,1708.3
강진군,14.8,1494.8
장흥,14.2,1475.5
해남,13.9,1387.9
고흥,14.3,1339.8
의령군,14.3,1205.5
함양군,13.3,1014.9
광양시,15.5,1423
진도군,,1549.1
봉화,10,1129.1
영주,12,1346.5
문경,12.5,1367.3
청송군,11.5,987.7
영덕,13.5,1287
의성,12.4,961.7
구미,13.9,1098
영천,13.3,1094.2
경주시,13.9,1112.1
거창,12.8,1080.2
합천,13.9,1146.4
밀양,14.5,1202.5
산청,13.6,1142.8
거제,15.2,2227.9
남해,15.1,1981.4
