연도,인천인구수,출생아수(명),사망자수(명),자연증감수,조출생률(천명당),조사망률(천명당),자연증가율(천명당),합계출산율(명),출생성비(명),영아사망률(출생아 천명당),혼인건수(건),조혼인율(천명당),이혼건수(건),조이혼율(천명당),기대수명(출생시 기대여명),기대수명(출생시 기대여명) - 남,기대수명(출생시 기대여명) - 여,출생건수인천,사망건수인천,자연증가건수인천
2000,2545769,640089,248740,391349,13.5,5.2,8.2,1.48,110.1,-,332090,7,119455,2.5,76,72.3,79.7,34433,10751,23682
2001,2564598,559934,243813,316121,11.7,5.1,6.6,1.309,109,5.4,318407,6.7,134608,2.8,76.5,72.9,80.1,30494,10607,19887
2002,2577989,496911,247524,249387,10.3,5.1,5.2,1.178,109.9,5.1,304877,6.3,144910,3,76.8,73.4,80.3,26775,10757,16018
2003,2570194,495036,246463,248573,10.2,5.1,5.1,1.191,108.6,5.1,302503,6.3,166617,3.4,77.3,73.8,80.8,26832,10924,15908
2004,2578817,476958,246220,230738,9.8,5.1,4.8,1.164,108.2,4.7,308598,6.4,138932,2.9,77.8,74.3,81.2,25092,11042,14050
2005,2600495,438707,245874,192833,9,5.1,4,1.085,107.8,4.2,314304,6.5,128035,2.6,78.2,74.9,81.6,23026,11144,11882
2006,2624391,451759,244162,207597,9.2,5,4.2,1.132,107.6,3.8,330634,6.8,124524,2.5,78.8,75.4,82.1,23711,11068,12643
2007,2664576,496822,246482,250340,10.1,5,5.1,1.259,106.2,3.4,343559,7,124072,2.5,79.2,75.9,82.5,26712,11376,15336
2008,2692696,465892,246113,219779,9.4,5,4.4,1.192,106.4,3.4,327715,6.6,116535,2.4,79.6,76.2,83,25365,11366,13999
2009,2710579,444849,246942,197907,9,5,4,1.149,106.4,3.2,309759,6.2,123999,2.5,80,76.7,83.4,24379,11662,12717
2010,2758296,470171,255405,214766,9.4,5.1,4.3,1.226,106.9,3.2,326104,6.5,116858,2.3,80.2,76.8,83.6,25752,12087,13665
2011,2801274,471265,257396,213869,9.4,5.1,4.3,1.244,105.7,3,329087,6.6,114284,2.3,80.6,77.3,84,26118,12504,13614
2012,2843981,484550,267221,217329,9.6,5.3,4.3,1.297,105.7,2.9,327073,6.5,114316,2.3,80.9,77.6,84.2,27781,12881,14900
2013,2879782,436455,266257,170198,8.6,5.3,3.4,1.187,105.3,3,322807,6.4,115292,2.3,81.4,78.1,84.6,25560,13039,12521
2014,2902608,435435,267692,167743,8.6,5.3,3.3,1.205,105.3,3,305507,6,115510,2.3,81.8,78.6,85,25786,13409,12377
2015,2925815,438420,275895,162525,8.6,5.4,3.2,1.239,105.3,2.7,302828,5.9,109153,2.1,82.1,79,85.2,25491,13452,12039
2016,2943069,406243,280827,125416,7.9,5.5,2.5,1.172,105,2.8,281635,5.5,107328,2.1,82.4,79.3,85.4,23609,14119,9490
2017,2948542,357771,285534,72237,7,5.6,1.4,1.052,106.3,2.8,264455,5.2,106032,2.1,82.7,79.7,85.7,20445,14290,6155
2018,2954642,326822,298820,28002,6.4,5.8,0.5,0.977,105.4,2.8,257622,5,108684,2.1,82.7,79.7,85.7,20087,15316,4771
2019,2957026,302676,295110,7566,5.9,5.7,0.1,0.918,105.5,2.7,239159,4.7,110831,2.2,83.3,80.3,86.3,18522,15131,3391
2020,2942828,272337,304948,-32611,5.3,5.9,-0.6,0.837,104.8,2.5,213502,4.2,106500,2.1,83.5,80.5,86.5,16040,15689,351
