시간,규모,진앙,위도,경도,위치
2013-01-025:53:00AM,2.5,,33.37,127.27,제주서귀포시성산동쪽36km해역
2013-01-151:31:00PM,2.8,16,36.59,129.73,경북영덕군동북동쪽38km해역
2013-01-268:57:00AM,2.4,21,36.11,127.73,충북영동군남서쪽9km지역
2013-02-045:39:00AM,3.1,,36.55,128.9,경북안동시동쪽15km지역
2013-02-059:25:00PM,3.5,11,35.77,127.97,경남거창군북북동쪽11km지역
2013-02-0710:07:00PM,2.2,17,35.76,129.13,경북경주시남서쪽12km지역
2013-04-101:07:00PM,2.2,13,36.5,127.44,충북청원군남남서쪽16km지역
2013-04-144:16:00PM,2.3,18,38.2,129.29,강원양양군동북동쪽60km해역
2013-04-179:33:00PM,2.3,17,36.56,129.61,경북영덕군북동쪽27km해역
2013-04-1911:46:00PM,2.2,18,36.55,129.6,경북영덕군북동쪽26km해역
2013-04-218:21:00AM,4.9,5,35.16,124.56,전남신안군흑산면북서쪽101km해역
2013-04-216:21:00PM,2.7,4,35.14,124.49,전남신안군흑산면서북서쪽105km해역
2013-04-283:39:00AM,2.7,16,33.65,127.29,전남여수시거문도남쪽42km해역
2013-04-305:26:00AM,2.5,18,36.47,129.61,경북영덕군동북동쪽23km해역
2013-04-3010:58:00AM,2,15,36.46,129.63,경북영덕군동북동쪽24km해역
2013-05-148:17:00PM,2.8,6,37.7,124.79,인천백령도남남동쪽30km해역
2013-05-158:34:00AM,2.7,11,37.71,124.68,인천백령도남쪽27km해역
2013-05-158:48:00AM,2.8,,37.69,124.74,인천백령도남쪽30km해역
2013-05-183:00:00AM,3.5,12,37.68,124.6,인천백령도남남동쪽31km해역
2013-05-187:02:00AM,4.9,11,37.68,124.63,인천백령도남쪽31km해역
2013-05-187:24:00AM,2.2,6,37.69,124.65,인천백령도남쪽29km해역
2013-05-187:26:00AM,3.3,9,37.67,124.66,인천백령도남쪽31km해역
2013-05-187:54:00AM,2.5,6,37.69,124.65,인천백령도남쪽29km해역
2013-05-189:13:00AM,2.4,7,37.67,124.62,인천백령도남쪽32km해역
2013-05-189:32:00AM,2.5,8,37.64,124.57,인천백령도남남서쪽36km해역
2013-05-1811:45:00AM,3.9,11,37.67,124.61,인천백령도남쪽32km해역
2013-05-182:09:00PM,2.6,13,37.71,124.68,인천백령도남쪽27km해역
2013-05-184:18:00PM,2.1,9,37.69,124.61,인천백령도남남서쪽30km해역
2013-05-195:27:00AM,2.3,0,37.73,124.74,인천백령도남남동쪽25km해역
2013-05-214:17:00PM,3.7,6,37.66,124.71,인천백령도남쪽33km해역
2013-05-2211:25:00PM,2.1,0,38.75,128.81,강원고성군북동쪽51km해역
2013-06-0512:34:00PM,2.6,22,36.23,126.18,충남보령시서남서쪽41km해역
2013-06-085:56:00AM,3.2,17,35.14,126.96,광주동구동쪽3km지역
2013-06-102:01:00PM,2.1,13,37.71,124.7,인천백령도남쪽27km해역
2013-06-167:47:00PM,2.1,16,36.19,126.15,충남보령시서남서쪽45km해역
2013-06-1610:12:00PM,2.5,15,36.2,126.16,충남보령시서남서쪽43km해역
2013-06-178:31:00PM,2.4,23,36.2,126.17,충남보령시서남서쪽43km해역
2013-06-182:31:00AM,2.3,22,36.21,126.18,충남보령시서남서쪽41km해역
2013-06-191:52:00AM,2.3,18,36.19,126.16,충남보령시서남서쪽43km해역
2013-06-194:02:00PM,2.6,18,36.19,126.16,충남보령시서남서쪽44km해역
2013-06-2012:35:00PM,2.4,0,39.23,125.95,북한평안남도평성동쪽8km지역
2013-06-214:29:00PM,2.2,15,36.19,126.14,충남보령시서남서쪽45km해역
2013-06-219:55:00PM,2.4,22,36.2,126.19,충남보령시서남서쪽41km해역
2013-06-223:51:00AM,2.5,21,36.2,126.17,충남보령시서남서쪽43km해역
2013-06-2210:37:00AM,2.8,17,36.19,126.16,충남보령시서남서쪽44km해역
2013-06-2211:18:00AM,2.3,0,36.2,126.17,충남보령시서남서쪽43km해역
2013-06-245:28:00AM,2.3,0,36.2,126.17,충남보령시서남서쪽43km해역
2013-06-246:26:00PM,2.1,23,38.04,129.75,강원동해시북동쪽80km해역
2013-06-277:33:00PM,2.5,0,36.2,126.14,충남보령시서남서쪽45km해역
2013-06-291:32:00PM,2.3,16,36.2,126.17,충남보령시서남서쪽43km해역
2013-07-0111:24:00AM,3,9,38.78,126.36,북한황해북도신계북북서쪽35km지역
2013-07-132:02:00AM,3.5,24,36.2,126.18,충남보령시서남서쪽42km해역
2013-07-151:39:00AM,2.4,0,33.03,125.68,제주제주시고산서남서쪽68km해역
2013-07-157:44:00PM,2.5,20,36.2,126.15,충남보령시서남서쪽44km해역
2013-07-234:03:00PM,2.7,19,36.19,126.16,충남보령시서남서쪽44km해역
2013-07-2611:23:00AM,2.2,18,36.19,126.14,충남보령시서남서쪽45km해역
2013-07-289:10:00AM,2.8,11,36.2,126.14,충남보령시서남서쪽45km해역
2013-07-2910:29:00AM,2.7,8,36.2,126.13,충남보령시서남서쪽46km해역
2013-07-302:57:00PM,2.7,22,36.21,126.14,충남보령시서남서쪽45km해역
2013-07-318:05:00PM,2.2,16,36.21,126.17,충남보령시서남서쪽42km해역
2013-07-318:27:00PM,2.2,18,36.2,126.17,충남보령시서남서쪽43km해역
2013-07-3110:30:00PM,3.2,23,36.21,126.18,충남보령시서남서쪽41km해역
2013-08-0112:57:00AM,2.8,25,36.23,126.22,충남보령시서남서쪽37km해역
2013-08-015:22:00PM,3.1,21,36.19,126.17,충남보령시서남서쪽43km해역
2013-08-047:58:00PM,2.3,19,36.2,126.16,충남보령시서남서쪽43km해역
2013-08-079:08:00PM,2,0,36.19,126.08,충남보령시서남서쪽51km해역
2013-08-1012:43:00PM,2.6,11,35.9,129.75,경북포항시남구동남동쪽37km해역
2013-08-114:19:00AM,2.3,0,38.48,126.13,북한황해북도평산북서쪽28km지역
2013-08-124:33:00AM,3.1,22,35.66,129.75,울산동구동북동쪽35km해역
2013-08-124:39:00AM,2.3,16,35.66,129.77,울산동구동북동쪽36km해역
2013-08-1312:01:00AM,2.1,16,36.92,129.44,경북울진군남남동쪽8km해역
2013-08-1312:36:00AM,3,14,36.91,129.44,경북울진군남남동쪽10km해역
2013-08-298:35:00AM,2.5,24,38.19,129.3,강원강릉시북동쪽60km해역
2013-09-111:00:00PM,4,14,33.56,125.39,전남신안군가거도남남동쪽60km해역
2013-09-145:33:00PM,2.2,21,36.2,126.16,충남보령시서남서쪽43km해역
2013-09-151:16:00PM,2.3,16,36.55,129.23,경북영양군남동쪽16km지역
2013-10-101:08:00PM,2.6,8,35.36,128.23,경남의령군북서쪽5km지역
2013-10-114:06:00PM,3.6,16,36.46,129.61,경북영덕군동북동쪽22km해역
2013-10-1912:16:00AM,2,8,35.96,128.06,경북김천시남쪽20km지역
2013-10-266:47:00AM,2.7,8,37.96,124.61,인천백령도서쪽6km해역
