,시간,규모,진앙,위도,경도,위치,pca_x,pca_y,cluster,silhouette_coff,cluster_db
0,2013-01-025:53:00AM,2.5,12.375886524822695,33.37,127.27,제주서귀포시성산동쪽36km해역,0.245194529797582,0.991785381497222,0,0.45621072116266503,-1
1,2013-01-151:31:00PM,2.8,16.0,36.59,129.73,경북영덕군동북동쪽38km해역,3.72054908178457,-1.6303066307902139,2,0.4395489852212062,0
2,2013-01-268:57:00AM,2.4,21.0,36.11,127.73,충북영동군남서쪽9km지역,8.56149062951555,0.7368128791398557,2,0.6204923906320277,-1
3,2013-02-045:39:00AM,3.1,12.375886524822695,36.55,128.9,경북안동시동쪽15km지역,0.06210345292457677,-1.0411168659658545,0,0.5143653116799879,25
4,2013-02-059:25:00PM,3.5,11.0,35.77,127.97,경남거창군북북동쪽11km지역,-1.3015960470183547,-0.09237562654188396,0,0.6386155839355994,-1
5,2013-02-0710:07:00PM,2.2,17.0,35.76,129.13,경북경주시남서쪽12km지역,4.745913806931857,-0.8759185590228429,2,0.609908651483873,1
6,2013-04-101:07:00PM,2.2,13.0,36.5,127.44,충북청원군남남서쪽16km지역,0.5661963066827723,0.41571405039052517,0,0.42246875116175975,30
7,2013-04-144:16:00PM,2.3,18.0,38.2,129.29,강원양양군동북동쪽60km해역,5.507253843162453,-1.3046015888847946,2,0.630969539308822,2
8,2013-04-179:33:00PM,2.3,17.0,36.56,129.61,경북영덕군북동쪽27km해역,4.705677956479513,-1.458282522046361,2,0.5752059425621578,1
9,2013-04-1911:46:00PM,2.2,18.0,36.55,129.6,경북영덕군북동쪽26km해역,5.697522115871195,-1.3826279578860148,2,0.6325965832205973,2
10,2013-04-218:21:00AM,4.9,5.0,35.16,124.56,전남신안군흑산면북서쪽101km해역,-7.473215314591039,3.002804476895548,1,0.36931798941303384,-1
11,2013-04-216:21:00PM,2.7,4.0,35.14,124.49,전남신안군흑산면서북서쪽105km해역,-8.466512861477819,2.924004039904272,1,0.48011138231179945,-1
12,2013-04-283:39:00AM,2.7,16.0,33.65,127.29,전남여수시거문도남쪽42km해역,3.8123258140733207,1.187153105598041,2,0.44421908144982597,-1
13,2013-04-305:26:00AM,2.5,18.0,36.47,129.61,경북영덕군동북동쪽23km해역,5.706045100497263,-1.3700047424289041,2,0.6335453418975898,2
